name,email,customer_id,customer_name,financial_status,fulfillment_status,accepts_marketing,currency,subtotal,shipping,taxes,total,discount_code,discount_amount,shipping_method,created_at,lineitem_quantity,lineitem_name,lineitem_price,lineitem_sku,lineitem_discount,billing_city,billing_province,billing_country,shipping_city,shipping_province,shipping_country,payment_method,refunded_amount,vendor,risk_level,source
#44051427229743,customer_001@example.com,1,Customer 001,,unfulfilled,yes,USD,60.0,44.97,0.0,104.97,,0.0,FedEx International Connect Plus®,2025-07-29 08:20:35 -0400,1,Expancity | Family Strategy City Building Game | 2-4 Players,60.0,BGZ110192,0,Barsha Heights,DU,AE,Barsha Heights,DU,AE,,,Breaking Games,Low,web
#44051287375919,customer_002@example.com,2,Customer 002,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 07:01:34 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44051150536751,customer_003@example.com,3,Customer 003,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 05:35:03 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050970542127,customer_004@example.com,4,Customer 004,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 03:26:34 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050929483823,customer_005@example.com,5,Customer 005,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 02:59:07 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050926698543,customer_006@example.com,6,Customer 006,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 02:57:07 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050887737391,customer_007@example.com,7,Customer 007,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 02:31:02 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050835505199,customer_008@example.com,8,Customer 008,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 01:55:31 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050801393711,customer_009@example.com,9,Customer 009,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 01:33:35 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050778652719,customer_010@example.com,10,Customer 010,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 01:19:01 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050704400431,customer_011@example.com,11,Customer 011,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 00:32:35 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050697748527,customer_012@example.com,12,Customer 012,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-29 00:29:01 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050560122927,customer_013@example.com,13,Customer 013,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 23:14:31 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050550816815,customer_014@example.com,14,Customer 014,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 23:09:35 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050516115503,customer_015@example.com,15,Customer 015,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 22:53:35 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050475614255,customer_016@example.com,16,Customer 016,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 22:34:05 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050444746799,customer_017@example.com,17,Customer 017,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 22:20:07 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050282971183,customer_018@example.com,18,Customer 018,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 21:11:02 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050270257199,customer_019@example.com,19,Customer 019,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 21:05:03 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050208423983,customer_020@example.com,20,Customer 020,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 20:36:01 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
#44050043764783,customer_021@example.com,21,Customer 021,,unfulfilled,no,USD,2.0,0.0,0.0,2.0,,0.0,,2025-07-28 19:17:00 -0400,1,Sparkle*Kitty Princess Palette Card,2.0,BGZ110342,0,,,,,,,,,Breaking Games,Low,web
